Date,High,Low,Open,Close,Volume,Adj Close
2021/1/4,46.5,44,46.15000153,45.54999924,403842303,45.54999924
2021/1/5,46.34999847,44.54999924,44.90000153,46.34999847,202966468,46.34999847
2021/1/6,47.75,45.90000153,47.54999924,46.95000076,301970846,46.95000076
2021/1/7,47.59999847,46,47.34999847,46.20000076,165917770,46.20000076
2021/1/8,48.34999847,46.29999924,46.70000076,47.84999847,338209260,47.84999847
2021/1/11,50.09999847,47.54999924,48.20000076,50,443219386,50
2021/1/12,51.90000153,48.40000153,50.5,48.45000076,491506206,48.45000076
2021/1/13,50.29999924,49.09999847,49.45000076,50,262676340,50
2021/1/14,50.90000153,49.5,49.79999924,49.90000153,199499035,49.90000153
2021/1/15,51.79999924,48.75,51.59999847,48.75,330790962,48.75
2021/1/18,49.84999847,46.5,48.29999924,49.65000153,190288745,49.65000153
2021/1/19,53.90000153,50,50.59999847,53,549567983,53
2021/1/20,54.90000153,51.59999847,54,52.09999847,519469908,52.09999847
2021/1/21,54.70000076,52.20000076,52.79999924,54,348371621,54
2021/1/22,57.20000076,53.59999847,54,56.5,421387831,56.5
2021/1/25,58.59999847,56,57.59999847,57.20000076,318407166,57.20000076
2021/1/26,57.59999847,53.90000153,57.09999847,54.79999924,322524662,54.79999924
2021/1/27,56.20000076,54.20000076,55,54.79999924,227015913,54.79999924
2021/1/28,53.29999924,50.20000076,51.20000076,51.20000076,451427781,51.20000076
2021/1/29,52.59999847,50,52.29999924,50,271977993,50
2021/2/1,51.59999847,48.84999847,49.70000076,50.79999924,242061925,50.79999924
2021/2/2,53,51.29999924,51.70000076,52.59999847,241259166,52.59999847
2021/2/3,53.59999847,51.59999847,53,52,171832168,52
2021/2/4,52.40000153,51.20000076,51.59999847,51.90000153,95251895,51.90000153
2021/2/5,53,52.09999847,52.5,52.90000153,144458981,52.90000153
2021/2/17,58,56.09999847,57.59999847,57.59999847,354720349,57.59999847
2021/2/18,59.40000153,56.70000076,57.59999847,58.20000076,287631020,58.20000076
2021/2/19,58.40000153,56.90000153,57.59999847,57.20000076,190960607,57.20000076
2021/2/22,58.29999924,56.79999924,58,56.79999924,182485679,56.79999924
2021/2/23,56.20000076,54.70000076,55.09999847,55.79999924,206213878,55.79999924
2021/2/24,56.70000076,54.59999847,55.40000153,54.70000076,176067024,54.70000076
2021/2/25,56.5,55.5,56.29999924,55.70000076,112309052,55.70000076
2021/2/26,55.20000076,54.20000076,54.29999924,54.20000076,175942036,54.20000076
2021/3/2,55.59999847,52.70000076,55.29999924,52.70000076,163514600,52.70000076
2021/3/3,52.70000076,50.59999847,52,51.90000153,280829307,51.90000153
2021/3/4,50.79999924,49,50.20000076,49.04999924,383612376,49.04999924
2021/3/5,48.20000076,46.34999847,46.79999924,47.04999924,347126156,47.04999924
2021/3/8,48.09999847,46.04999924,47.95000076,46.09999847,209424946,46.09999847
2021/3/9,46.70000076,44.90000153,45.5,46.34999847,264344665,46.34999847
2021/3/10,47.34999847,46.34999847,47.20000076,46.54999924,191320536,46.54999924
