日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/11/02,34539576,14901775161,433.0,435.5,428.0,435.5,3.5,35704
109/11/03,31461727,13852498196,439.5,443.0,438.0,441.0,5.5,21031
109/11/04,37929652,16969841989,444.5,451.5,443.0,450.0,9.0,30087
109/11/05,36539446,16404944484,451.5,451.5,445.5,451.0,1.0,24764
109/11/06,32644190,14788989058,455.0,455.5,450.0,452.5,1.5,20999
109/11/09,43415670,19865414906,458.0,460.0,454.0,458.5,6.0,27868
109/11/10,36786882,16610287996,452.0,454.5,448.5,451.0,-7.5,31009
109/11/11,40355804,18326545251,448.5,457.0,448.5,457.0,6.0,23150
109/11/12,57993774,26690353577,463.0,463.5,457.5,458.0,1.0,28011
109/11/13,31483881,14478873331,459.0,462.0,456.5,462.0,4.0,21663
109/11/16,83380911,39658459663,470.0,484.5,469.0,484.0,22.0,67363
109/11/17,75763870,37446278783,502.0,506.0,485.5,485.5,1.5,68560
109/11/18,56607501,27883387314,490.0,497.0,486.5,497.0,11.5,38186
109/11/19,47345316,23320435165,499.0,499.0,490.0,490.0,-7.0,40198
109/11/20,35242579,17191897556,486.0,490.0,486.0,488.0,-2.0,30557
